radius_bin,candidate_name,channel,lag,mean_probability,onset_probability
3,pair_upstream@0,pair_upstream,0,0.03329350928813335,0.000280027965462741
3,pair_upstream@1,pair_upstream,1,0.027404953439432674,0.003357240300382747
3,pair_upstream@2,pair_upstream,2,0.03316197414602791,0.3068994067896692
3,pair_upstream@3,pair_upstream,3,0.08744804112763889,0.0024160504457974934
3,def_slope@0,def_slope,0,0.07019593127301335,1.9260788095078155e-05
3,def_slope@1,def_slope,1,0.02823738324178604,1.9260788095078155e-05
3,def_slope@2,def_slope,2,0.02823750208114374,1.9260788095078155e-05
3,def_slope@3,def_slope,3,0.02785327876695467,1.9260788095078155e-05
3,curv_def@0,curv_def,0,0.02948453669827707,1.9260788095078155e-05
3,curv_def@1,curv_def,1,0.02685922454669014,1.9260788095078155e-05
3,curv_def@2,curv_def,2,0.02913104879879137,1.9260788095078155e-05
3,curv_def@3,curv_def,3,0.08265792899743328,1.9260788095078155e-05
3,pair_tail@0,pair_tail,0,0.026749138017974437,1.9260788095078155e-05
3,pair_tail@1,pair_tail,1,0.026759636991204892,1.9260788095078155e-05
3,pair_tail@2,pair_tail,2,0.026916764985451196,1.9260788095078155e-05
3,pair_tail@3,pair_tail,3,0.04609232734493365,1.9260788095078155e-05
3,flux_res@0,flux_res,0,0.050788696804646705,0.2561228140024128
3,flux_res@1,flux_res,1,0.026877753764052548,0.0025044269291088846
3,flux_res@2,flux_res,2,0.02675469170061757,0.00022304700166002488
3,flux_res@3,flux_res,3,0.02674793165898851,6.477615062130562e-05
3,traj_flux@0,traj_flux,0,0.0852611061413498,0.42424709015267215
3,traj_flux@1,traj_flux,1,0.058133484660824235,0.003329332627473367
3,traj_flux@2,traj_flux,2,0.0415602839229507,0.00025623410789632386
3,traj_flux@3,traj_flux,3,0.05339287160168335,6.842406970206635e-05
5,pair_upstream@0,pair_upstream,0,0.006532555182034693,3.3647740101084996e-05
5,pair_upstream@1,pair_upstream,1,0.0007527241786978653,3.3647740101084996e-05
5,pair_upstream@2,pair_upstream,2,0.007684364785551347,3.3647740101084996e-05
5,pair_upstream@3,pair_upstream,3,0.018828467020088082,3.3647740101084996e-05
5,def_slope@0,def_slope,0,0.17884840334521693,3.3647740101084996e-05
5,def_slope@1,def_slope,1,0.009300329429296084,3.3647740101084996e-05
5,def_slope@2,def_slope,2,0.0030620854492171765,3.3647740101084996e-05
5,def_slope@3,def_slope,3,0.017854990956219226,3.3647740101084996e-05
5,curv_def@0,curv_def,0,0.006428677824907699,0.00030577149178244467
5,curv_def@1,curv_def,1,0.00026664350210855374,0.0023357904242321758
5,curv_def@2,curv_def,2,0.0025375633286910154,0.09276114390471954
5,curv_def@3,curv_def,3,0.180045823568682,0.0017425479809861318
5,pair_tail@0,pair_tail,0,0.12409497834854995,3.3647740101084996e-05
5,pair_tail@1,pair_tail,1,0.0015427245217575732,3.3647740101084996e-05
5,pair_tail@2,pair_tail,2,0.0018866204055964667,3.3647740101084996e-05
5,pair_tail@3,pair_tail,3,0.05137452005990453,3.3647740101084996e-05
5,flux_res@0,flux_res,0,0.05084839145090117,0.15260616239064087
5,flux_res@1,flux_res,1,0.00041731678275571245,0.002328261747711024
5,flux_res@2,flux_res,2,0.0005130785147068757,0.0002696127376315948
5,flux_res@3,flux_res,3,0.0004844078935769151,9.214733426947597e-05
5,traj_flux@0,traj_flux,0,0.24794451450977514,0.7411407963790477
5,traj_flux@1,traj_flux,1,0.05024426555549666,0.005515440932726489
5,traj_flux@2,traj_flux,2,0.020590832520397336,0.0003919769225298274
5,traj_flux@3,traj_flux,3,0.017915720865870958,0.00010657487250983345
6,pair_upstream@0,pair_upstream,0,0.006506993164347777,2.8435543915454785e-05
6,pair_upstream@1,pair_upstream,1,0.00039997938885727474,2.8435543915454785e-05
6,pair_upstream@2,pair_upstream,2,0.0062640166735411324,2.8435543915454785e-05
6,pair_upstream@3,pair_upstream,3,0.017834268434966143,2.8435543915454785e-05
6,def_slope@0,def_slope,0,0.1773233735949029,2.8435543915454785e-05
6,def_slope@1,def_slope,1,0.007754830801700935,2.8435543915454785e-05
6,def_slope@2,def_slope,2,0.000472032061337708,2.8435543915454785e-05
6,def_slope@3,def_slope,3,0.0015788338036600564,2.8435543915454785e-05
6,curv_def@0,curv_def,0,0.006035432133660488,0.00010305223294467917
6,curv_def@1,curv_def,1,0.00020995091590262038,0.00034284133554018096
6,curv_def@2,curv_def,2,0.0014239930677702576,0.002989222401775702
6,curv_def@3,curv_def,3,0.14519349635813317,0.1388087427143933
6,pair_tail@0,pair_tail,0,0.09739158558313157,2.8435543915454785e-05
6,pair_tail@1,pair_tail,1,0.0008524445381609182,2.8435543915454785e-05
6,pair_tail@2,pair_tail,2,0.0007156927221086092,2.8435543915454785e-05
6,pair_tail@3,pair_tail,3,0.06799125154916195,2.8435543915454785e-05
6,flux_res@0,flux_res,0,0.08895703282473728,0.2230550547934531
6,flux_res@1,flux_res,1,0.0008429443852655695,0.002624261543051716
6,flux_res@2,flux_res,2,0.00797557049453625,0.0002627873642937551
6,flux_res@3,flux_res,3,0.0005725284712725364,8.345414029056671e-05
6,traj_flux@0,traj_flux,0,0.3184464615604099,0.6263345353935442
6,traj_flux@1,traj_flux,1,0.03232780557604562,0.004635059415134655
6,traj_flux@2,traj_flux,2,0.0046162477893658665,0.0003297722327671734
6,traj_flux@3,traj_flux,3,0.008313234107023485,8.998990582529922e-05
